"","OFFENSE_CODE_GROUP","OCCURRED_ON_DATE","YEAR","MONTH","DAY_OF_WEEK","HOUR","Lat","Long"
"1","Homicide",2018-08-22 15:00:00,2018,8,"Wednesday",15,42.3156892,-71.08951391
"2","Homicide",2018-08-14 09:30:00,2018,8,"Tuesday",9,42.28414025,-71.09305138
"3","Homicide",2018-08-11 23:14:00,2018,8,"Saturday",23,42.27404039,-71.07630093
"4","Homicide",2018-07-26 18:14:00,2018,7,"Thursday",18,42.29505434,-71.08904077
"5","Homicide",2018-07-25 22:57:00,2018,7,"Wednesday",22,42.28804798,-71.07766654
"6","Homicide",2018-07-22 04:24:00,2018,7,"Sunday",4,42.26170286,-71.10221348
"7","Homicide",2018-07-07 15:06:00,2018,7,"Saturday",15,42.31242132,-71.09154902
"8","Homicide",2018-07-04 21:50:00,2018,7,"Wednesday",21,42.31841535,-71.07602496
"9","Homicide",2018-07-03 23:39:00,2018,7,"Tuesday",23,42.31499803,-71.09194485
"10","Homicide",2018-06-30 00:41:00,2018,6,"Saturday",0,42.351987,-71.16510001
"11","Homicide",2018-06-05 22:49:00,2018,6,"Tuesday",22,42.29808992,-71.07178667
"12","Homicide",2018-06-01 23:53:00,2018,6,"Friday",23,42.38229155,-71.04036424
"13","Homicide",2018-06-01 02:31:00,2018,6,"Friday",2,42.26681254,-71.09566961
"14","Homicide",2018-05-29 17:38:00,2018,5,"Tuesday",17,42.25767476,-71.12367146
"15","Homicide",2018-05-15 10:39:00,2018,5,"Tuesday",10,42.27934055,-71.09130505
"16","Homicide",2018-05-08 12:07:00,2018,5,"Tuesday",12,42.3318188,-71.06868237
"17","Homicide",2018-05-04 21:41:00,2018,5,"Friday",21,42.32283759,-71.10096723
"18","Homicide",2018-04-28 02:45:00,2018,4,"Saturday",2,42.31535276,-71.07304299
"19","Homicide",2018-04-10 22:00:00,2018,4,"Tuesday",22,42.36474297,-71.06256983
"20","Homicide",2018-04-07 17:37:00,2018,4,"Saturday",17,42.26273505,-71.11078287
"21","Homicide",2018-04-05 23:38:00,2018,4,"Thursday",23,42.33971096,-71.05321163
"22","Homicide",2018-03-31 15:55:00,2018,3,"Saturday",15,42.28106002,-71.08420647
"23","Homicide",2018-03-30 09:08:00,2018,3,"Friday",9,42.31428744,-71.07697146
"24","Homicide",2018-03-25 03:01:00,2018,3,"Sunday",3,NA,NA
"25","Homicide",2018-02-22 00:13:00,2018,2,"Thursday",0,42.33139985,-71.05128027
"26","Homicide",2018-02-14 18:43:00,2018,2,"Wednesday",18,42.32424069,-71.07761917
"27","Homicide",2018-02-06 19:54:00,2018,2,"Tuesday",19,42.30555042,-71.06787929
"28","Homicide",2018-02-03 13:49:00,2018,2,"Saturday",13,42.31250816,-71.06546757
"29","Homicide",2018-01-31 21:36:00,2018,1,"Wednesday",21,42.32047753,-71.07273673
"30","Homicide",2018-01-14 17:30:00,2018,1,"Sunday",17,NA,NA
"31","Homicide",2018-01-13 21:34:00,2018,1,"Saturday",21,NA,NA
"32","Homicide",2018-01-11 14:03:00,2018,1,"Thursday",14,42.30545103,-71.08057209
"33","Homicide",2018-01-11 13:46:00,2018,1,"Thursday",13,42.33380238,-71.08880867
"34","Homicide",2017-12-24 05:30:00,2017,12,"Sunday",5,42.28485608,-71.0936575
"35","Homicide",2017-12-23 03:13:00,2017,12,"Saturday",3,42.27905426,-71.05337772
"36","Homicide",2017-12-19 00:00:00,2017,12,"Tuesday",0,42.30839354,-71.06473124
"37","Homicide",2017-12-10 16:41:00,2017,12,"Sunday",16,42.36671964,-71.03908712
"38","Homicide",2017-12-06 19:47:00,2017,12,"Wednesday",19,42.33178186,-71.09718868
"39","Homicide",2017-12-01 23:47:00,2017,12,"Friday",23,42.30536545,-71.06812632
"40","Homicide",2017-11-27 23:19:00,2017,11,"Monday",23,NA,NA
"41","Homicide",2017-11-19 06:19:00,2017,11,"Sunday",6,42.27881657,-71.16080623
"42","Homicide",2017-11-20 15:35:00,2017,11,"Monday",15,42.30839354,-71.06473124
"43","Homicide",2017-11-06 20:05:00,2017,11,"Monday",20,42.34243945,-71.0844553
"44","Homicide",2017-10-31 23:47:00,2017,10,"Tuesday",23,42.32469443,-71.10087902
"45","Homicide",2017-10-29 19:45:00,2017,10,"Sunday",19,42.32058475,-71.04470305
"46","Homicide",2017-10-20 00:22:00,2017,10,"Friday",0,NA,NA
"47","Homicide",2017-10-17 04:15:00,2017,10,"Tuesday",4,42.32692112,-71.05841861
"48","Homicide",2017-09-29 19:51:00,2017,9,"Friday",19,42.29481426,-71.07200871
"49","Homicide",2017-09-24 06:39:00,2017,9,"Sunday",6,42.33168201,-71.06798742
"50","Homicide",2017-09-21 08:04:00,2017,9,"Thursday",8,42.29813306,-71.08393278
"51","Homicide",2017-09-10 22:23:00,2017,9,"Sunday",22,42.29042439,-71.0638074
"52","Homicide",2017-09-06 23:15:00,2017,9,"Wednesday",23,42.31396145,-71.06685455
"53","Homicide",2017-09-05 10:46:00,2017,9,"Tuesday",10,42.3152619,-71.06118848
"54","Homicide",2017-08-27 00:24:00,2017,8,"Sunday",0,42.31009971,-71.0603428
"55","Homicide",2017-08-20 21:39:00,2017,8,"Sunday",21,42.32320895,-71.08432965
"56","Homicide",2017-08-20 00:17:00,2017,8,"Sunday",0,42.34942864,-71.06536641
"57","Homicide",2017-08-13 23:29:00,2017,8,"Sunday",23,42.32734041,-71.07945869
"58","Homicide",2017-08-09 22:33:00,2017,8,"Wednesday",22,42.32022882,-71.06307063
"59","Homicide",2017-08-02 16:02:00,2017,8,"Wednesday",16,42.30385443,-71.06087585
"60","Homicide",2017-07-18 16:06:00,2017,7,"Tuesday",16,42.33308097,-71.10165376
"61","Homicide",2017-07-17 17:23:00,2017,7,"Monday",17,42.2960628,-71.08664795
